split,label,material,image_count,bbox_count
train,c_3,CAN,22962,25827
train,c_3_01,CAN,7037,7598
train,c_4_01_01,GLASS,7626,7659
train,c_4_01_02,GLASS,3062,3062
train,c_4_02_01_01,GLASS,7051,7390
train,c_4_02_01_02,GLASS,3650,3650
train,c_4_02_02_01,GLASS,4122,4280
train,c_4_02_02_02,GLASS,3576,3577
train,c_4_02_03_01,GLASS,6437,6848
train,c_4_02_03_02,GLASS,3843,3844
train,c_4_03,GLASS,3073,3073
train,c_4_03_01,GLASS,7426,7428
train,c_5_01,PET,14626,15713
train,c_5_01_01,PET,7158,7427
train,c_5_02,PET,6025,6179
train,c_5_02_01,PET,5581,5642
train,c_6,PLASTIC,24918,27470
train,c_6_01,PLASTIC,21535,23697
val,c_3,CAN,2851,3213
val,c_3_01,CAN,828,890
val,c_4_01_01,GLASS,932,937
val,c_4_01_02,GLASS,384,384
val,c_4_02_01_01,GLASS,947,988
val,c_4_02_01_02,GLASS,502,502
val,c_4_02_02_01,GLASS,524,547
val,c_4_02_02_02,GLASS,453,453
val,c_4_02_03_01,GLASS,784,839
val,c_4_02_03_02,GLASS,518,518
val,c_4_03,GLASS,338,338
val,c_4_03_01,GLASS,911,912
val,c_5_01,PET,1879,2010
val,c_5_01_01,PET,900,925
val,c_5_02,PET,793,811
val,c_5_02_01,PET,682,685
val,c_6,PLASTIC,3095,3413
val,c_6_01,PLASTIC,2677,2952
